reviewer,apartment_id,rating,review_text,augmented
j h,637676b2aa53863bda1f9f1f,5.0,nice,False
m n,637676b2aa53863bda1f9f1f,5.0,mantap,False
p i r,637676b2aa53863bda1f9f1f,5.0,mntap,False
d k,637676b2aa53863bda1f9f1f,5.0,staff solehudin sangat ramah dan sangat membantu,False
n a s,637676b2aa53863bda1f9f1f,5.0,mantap,False
d d,637676b2aa53863bda1f9f1f,5.0,nyaman,False
a r,637676b2aa53863bda1f9f1f,5.0,sangat terbantu dengan adanya travelio,False
s a,637676b2aa53863bda1f9f1f,5.0,menyenangkan,False
d r,637676b2aa53863bda1f9f1f,5.0,bersih pelayanan cepat,False
a f,637676b2aa53863bda1f9f1f,5.0,mantap staffnya ramah dan komunikatif sejauh saya menginap,False
h p,637676b2aa53863bda1f9f1f,5.0,staff responsif,False
g l,637676b2aa53863bda1f9f1f,5.0,tempat bersih dan nyaman,False
t,637676b2aa53863bda1f9f1f,5.0,staff yg melayani sangat sigap jam berapapun ramah unit bersihh,False
a m s,637676b2aa53863bda1f9f1f,5.0,ramahbersih,False
p h,637676b2aa53863bda1f9f1f,5.0,keren banget staff nya baik dan sangat menbantu,False
n u a a n,637676b2aa53863bda1f9f1f,5.0,sangat baik dan terjangkau,False
e,637676b2aa53863bda1f9f1f,5.0,thank you travelio,False
a a,637676b2aa53863bda1f9f1f,5.0,ruangan bersih proses check in mudah room boy tepat waktu room boy ramah unit sesuai ekspektasi harga sesuai,False
d,637676b2aa53863bda1f9f1f,5.0,ruangan bersih,False
m m m,637676b2aa53863bda1f9f1f,5.0,ruangan bersih proses check in mudah room boy tepat waktu room boy ramah unit sesuai ekspektasi harga sesuai,False
m n,637676b2aa53863bda1f9f1f,5.0,ruangan bersih proses check in mudah room boy tepat waktu room boy ramah harga sesuai,False
p i r,637676b2aa53863bda1f9f1f,5.0,ruangan bersih proses check in mudah room boy tepat waktu room boy ramah unit sesuai ekspektasi harga sesuai,False
d k,637676b2aa53863bda1f9f1f,5.0,ruangan bersih proses check in mudah room boy tepat waktu room boy ramah unit sesuai ekspektasi,False
d k,637676b2aa53863bda1f9f1f,5.0,ruangan bersih proses check in mudah room boy tepat waktu room boy ramah unit sesuai ekspektasi harga sesuai,False
d k,637676b2aa53863bda1f9f1f,5.0,ruangan bersih proses check in mudah room boy tepat waktu room boy ramah unit sesuai ekspektasi,False
h d d,5dae5eb2d24e8230d4baa107,5.0,so far ok tidak ada masalah,False
a,5dae5eb2d24e8230d4baa107,5.0,pelayanan dari travelio terbaik,False
a,5dae5eb2d24e8230d4baa107,5.0,petugas yg sangat membantu,False
f,5dae5eb2d24e8230d4baa107,5.0,servisnya lumayan tempatnya enak,False
s f a,5dae5eb2d24e8230d4baa107,5.0,terimakasih,False
a,5dae5eb2d24e8230d4baa107,5.0,cocok buat kumpul keluarga,False
s a m s,5dae5eb2d24e8230d4baa107,5.0,seneng banget unitnya sesuai dengan yang didisplay unit luas dan nyaman pelayanannya juga menyenangkan,False
r e p,5dae5eb2d24e8230d4baa107,5.0,ruangan bersih,False
b s,5dae5eb2d24e8230d4baa107,5.0,ruangan bersih proses check in mudah room boy tepat waktu room boy ramah unit sesuai ekspektasi harga sesuai,False
o,5dae5eb2d24e8230d4baa107,5.0,ruangan bersih unit sesuai ekspektasi harga sesuai,False
y k,5dae5eb2d24e8230d4baa107,5.0,room boy tepat waktu room boy ramah,False
f a,5dae5eb2d24e8230d4baa107,5.0,ruangan bersih proses check in mudah room boy tepat waktu room boy ramah unit sesuai ekspektasi,False
h b,5dae5eb2d24e8230d4baa107,5.0,ruangan bersih proses check in mudah room boy tepat waktu room boy ramah unit sesuai ekspektasi harga sesuai,False
g,5dae5eb2d24e8230d4baa107,5.0,ruangan bersih proses check in mudah room boy tepat waktu,False
a c,5dae5eb2d24e8230d4baa107,5.0,ruangan bersih proses check in mudah room boy tepat waktu room boy ramah,False
h d d,5dae5eb2d24e8230d4baa107,5.0,ruangan bersih proses check in mudah room boy tepat waktu room boy ramah unit sesuai ekspektasi harga sesuai,False
a,5dae5eb2d24e8230d4baa107,5.0,ruangan bersih proses check in mudah room boy tepat waktu room boy ramah unit sesuai ekspektasi harga sesuai,False
h,5dae5eb2d24e8230d4baa107,5.0,proses check in mudah,False
a n,5dae5eb2d24e8230d4baa107,5.0,ruangan bersih proses check in mudah room boy tepat waktu room boy ramah unit sesuai ekspektasi harga sesuai,False
d h,5dae5eb2d24e8230d4baa107,5.0,ruangan bersih proses check in mudah room boy tepat waktu room boy ramah unit sesuai ekspektasi harga sesuai,False
a,5dae5eb2d24e8230d4baa107,5.0,ruangan bersih proses check in mudah room boy tepat waktu room boy ramah unit sesuai ekspektasi harga sesuai,False
r m,5dae5eb2d24e8230d4baa107,5.0,ruangan bersih proses check in mudah room boy tepat waktu room boy ramah unit sesuai ekspektasi harga sesuai,False
f,5dae5eb2d24e8230d4baa107,5.0,ruangan bersih proses check in mudah room boy tepat waktu room boy ramah unit sesuai ekspektasi harga sesuai,False
s s s,5dae5eb2d24e8230d4baa107,5.0,ruangan bersih proses check in mudah room boy tepat waktu room boy ramah unit sesuai ekspektasi harga sesuai,False
e m m,5dae5eb2d24e8230d4baa107,5.0,ruangan bersih proses check in mudah room boy tepat waktu room boy ramah unit sesuai ekspektasi harga sesuai,False
d,5d25a58d5495ff47cb084209,5.0,bersih rapih memuaskan,False
t c,5d25a58d5495ff47cb084209,5.0,ok,False
y l,5d25a58d5495ff47cb084209,5.0,good,False
h f h,5d25a58d5495ff47cb084209,5.0,room nya bersih room man nya keren dan ramah,False
b k,5d25a58d5495ff47cb084209,4.33,travelio bagus dan menarik,False
w w,5d25a58d5495ff47cb084209,5.0,bagus,False
h h,5d25a58d5495ff47cb084209,5.0,apartment yg sangat baik dgn harga yg bagus utk 2 kamar tp sayang nya bgtu mau perpanjang harga melejit 100 persen,False
w w h s,5d25a58d5495ff47cb084209,5.0,mantap,False
